trigger,source,dest,switch_xy
release_Y,studio_X_on_air_change_to_studio_Y_next_hour_immediate_state,studio_X_on_air_change_to_automat_next_hour_immediate_state,
release_X,studio_X_on_air_change_to_studio_Y_next_hour_immediate_state,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,
next_hour,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,studio_X_on_air,true
immediate_release_timeout,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,automat_on_air_change_to_studio_X_next_hour,true
takeover_X,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,studio_X_on_air_change_to_studio_Y_next_hour,
release_X,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,studio_X_on_air_change_to_studio_Y_next_hour,
immediate_X,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,studio_X_on_air_change_to_studio_Y_next_hour,
release_Y,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,studio_X_on_air_change_to_automat_next_hour_immediate_release,
takeover_Y,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,studio_X_on_air,true
next_hour,studio_X_on_air_change_to_automat_next_hour_immediate_release,automat_on_air,
takeover_X,studio_X_on_air_change_to_automat_next_hour_immediate_state,studio_X_on_air,
takeover_Y,studio_X_on_air_immediate_state,studio_X_on_air_studio_Y_takeover_request_immediate_state,
takeover_Y,studio_X_on_air_studio_Y_takeover_request_immediate_state,studio_X_on_air_immediate_state,
release_Y,studio_X_on_air_studio_Y_takeover_request_immediate_state,studio_X_on_air_immediate_state,
immediate_state_timeout,studio_X_on_air_studio_Y_takeover_request_immediate_state,studio_X_on_air_studio_Y_takeover_request,
release_X,studio_X_on_air_studio_Y_takeover_request_immediate_state,studio_X_on_air_change_to_studio_Y_next_hour_immediate_release,
takeover_X,studio_X_on_air_immediate_state,studio_X_on_air,
immediate_X,studio_X_on_air_studio_Y_takeover_request,studio_X_on_air_studio_Y_takeover_request_immediate_state,
immediate_X,studio_X_on_air_studio_Y_takeover_request_immediate_state,studio_X_on_air_studio_Y_takeover_request,
takeover_X,studio_X_on_air_studio_Y_takeover_request_immediate_state,studio_X_on_air_studio_Y_takeover_request,
immediate_X,studio_X_on_air_change_to_automat_next_hour_immediate_release,studio_X_on_air,
immediate_X,automat_on_air_change_to_studio_X_next_hour,automat_on_air_change_to_studio_X_next_hour_immediate_state,
immediate_X,automat_on_air_change_to_studio_X_next_hour_immediate_state,automat_on_air_change_to_studio_X_next_hour,
release_X,automat_on_air_change_to_studio_X_next_hour_immediate_state,automat_on_air,
takeover_X,automat_on_air_change_to_studio_X_next_hour_immediate_state,studio_X_on_air,
